nN,nO,AATS6dv,AATS0v,ATSC5d,GATS4Z,GATS5v,C1SP2,Xp-3dv,NtsC,SssssC,IC1,PEOE_VSA3,SMR_VSA4,n6ARing,GGI7,label
0,4,3.9342105263157894,230.69095407137684,2.3200000000000007,1.1070073190566547,0.9298528011071501,0,3.5034175020187504,0,0.0,2.7798730959450584,0.0,0.0,0,0.3611111111111111,inactive
5,8,3.4502564102564106,211.40552158638582,-2.8049964758399266,1.044573419362902,0.8855167857981568,4,10.945165636735185,0,0.0,3.6620180106091103,8.417796984328938,11.835812092322787,0,1.362847222222222,inactive
5,8,3.5548717948717945,213.9888890421596,-2.440520009397761,0.9979885985375468,0.9075897233519505,4,11.024683010125619,0,0.0,3.822348099564183,17.198627079678577,11.835812092322787,0,1.4253472222222223,inactive
5,8,3.8060796645702313,215.4096370104803,-3.206611570247933,1.0047401911465255,0.8934285902289196,4,10.801830125611055,0,0.0,3.8431168238132454,17.198627079678577,11.835812092322787,0,1.5625,active
5,8,3.8060796645702313,215.4096370104803,-3.206611570247933,1.0047401911465255,0.8934285902289196,4,10.801830125611055,0,0.0,3.8431168238132454,17.198627079678577,11.835812092322787,0,1.5625,active
5,8,2.6608695652173915,196.26155688104643,-1.0,0.8473896426493152,0.9311296117945466,4,9.38864487774585,0,-0.8104423556165572,3.572054193816732,13.575367279421462,17.75371813848418,0,1.2847222222222223,inactive
5,8,3.4025374855824686,210.29623682933135,-7.063100000000003,1.004766569004893,0.9362036925780207,4,9.604571891636054,0,0.0,3.899431502432953,17.198627079678577,11.835812092322787,0,1.2065972222222223,inactive
4,7,3.751302083333333,215.02710117685479,-1.2263011713561172,0.9937958198318461,0.9417711891070542,3,9.103276431256369,0,0.0,3.8758275173735526,17.198627079678577,5.917906046161393,0,1.1128472222222223,inactive
5,8,3.6533333333333333,215.2805727700465,-3.394784243088731,1.0016509791450574,0.9108015015834193,4,11.095115612239807,0,0.0,3.869104799806816,21.589042127353395,11.835812092322787,0,1.4809027777777777,inactive
3,3,1.8214285714285714,190.81275248365688,-4.328704262770196,1.14332211578969,0.959694164744552,2,8.975953473239128,0,-0.3137002656222061,3.2379719529658426,0.0,11.835812092322787,1,0.6336805555555556,active
3,3,1.9163879598662208,194.40216839495415,-6.331902537558389,1.0735832753619121,1.0063715138014298,2,9.20401883442595,0,-0.2437697100666507,3.2603069980356905,0.0,11.835812092322787,1,0.5954506802721089,active
3,3,1.8503184713375795,193.34214541045762,-7.071361058601136,1.082356042616483,0.990235735191632,2,9.45401883442595,0,-0.2537697100666507,3.225148922708321,0.0,11.835812092322787,2,0.6302083333333333,active
0,4,3.366336633663366,222.19703025688978,4.042100497962878,0.8383057904051398,0.8646246207447412,2,4.0594318168914265,0,0.0,3.3042778220423616,4.794537184071822,0.0,0,0.359375,inactive
5,6,7.149122807017544,227.55667350948318,2.2277623884272075,0.9088439758758806,0.8451875298170696,3,5.907087910057305,0,0.0,3.871956448879812,5.425791397110385,5.101407525739723,1,0.6198625283446713,inactive
5,6,8.524271844660195,245.73911692715095,-0.663580246913579,1.001059783685274,0.8945988313077039,3,5.27212820896811,0,0.0,3.843278037556353,5.425791397110385,5.101407525739723,0,0.6441680839002267,inactive
3,6,3.977547495682211,220.49664077001393,-4.450902598690736,1.069680221203716,0.9814866098950908,2,7.445189258115446,0,-1.7010832649556251,3.8462418375098277,17.60274921607558,5.733667477162185,0,0.920138888888889,active
3,5,3.7298245614035084,220.55529596723758,-4.88,1.0518698795494326,1.0151022339251174,2,7.274605098049882,0,-1.2983054871778474,3.685915255189388,12.808212032003757,5.733667477162185,0,0.8923611111111112,active
4,4,3.452991452991453,218.26588532950544,-4.085300535608013,1.039245647567208,0.9822080633766974,2,7.410145633097675,0,-1.1871943760667363,3.6669181642831754,12.808212032003757,5.733667477162185,0,0.8923611111111112,inactive
5,4,4.982352941176471,226.7672579467215,-3.3818525519848786,0.9916868189930055,0.9503185471191998,3,7.562373821831442,0,-0.9493471538445144,3.8274034936825307,12.808212032003757,5.733667477162185,0,0.9809736394557822,inactive
4,4,2.987117552334944,213.13760749666773,-5.3443422781009575,0.967352648073212,0.995071726428156,1,7.544277521830282,0,-0.909416598288959,3.7808843185316223,12.808212032003757,5.733667477162185,0,0.7708333333333334,inactive
3,4,2.7370892018779345,213.11259216507193,-4.802045288531776,0.965240193804443,0.9627509138005025,1,7.878210787061154,0,-0.7983054871778479,3.6690825964481126,12.808212032003757,5.733667477162185,0,0.7708333333333334,inactive
